category,id,name,phone,lng,lat,distance,review_avg,review_count,begin,adjusted_delivery_fee,min_order_amount,menu_list
피자양식,59735,7번가피자-남포보수점,50352570345,129.0245467,35.10302281,0.611723588,4.7,549,11:10:00,0,14900,"[{'id': 9827041, 'name': '슈퍼콤비네이션 R', 'price': '19900', 'review_count': 22}, {'id': 19301621, 'name': '샘스테이크 R', 'price': '23900', 'review_count': 14}, {'id': 9827015, 'name': '홍대피자 R', 'price': '23900', 'review_count': 12}, {'id': 9827016, 'name': '7번가스페셜 R', 'price': '23900', 'review_count': 8}, {'id': 9827040, 'name': '페페로니 R', 'price': '19900', 'review_count': 17}, {'id': 9827043, 'name': '흥부 포테이토 R', 'price': '19900', 'review_count': 20}, {'id': 9827046, 'name': '슈퍼콤비네이션 L', 'price': '25900', 'review_count': 1}, {'id': 9827023, 'name': '7번가스페셜 L', 'price': '30500', 'review_count': 5}, {'id': 9827014, 'name': '체다골드포테이토 R', 'price': '23900', 'review_count': 8}, {'id': 9827028, 'name': '고구마피자 R', 'price': '21400', 'review_count': 1}]"
피자양식,231302,피자헛-부산보수점,50352590270,129.0228534,35.1034185,0.504584512,4.6,649,11:00:00,0,19900,"[{'id': 178557203, 'name': '티본스테이크&쉬림프 리치골드L', 'price': '33900', 'review_count': 0}, {'id': 178556988, 'name': '갈릭버터쉬림프 치즈크러스트L', 'price': '33900', 'review_count': 0}, {'id': 178557034, 'name': '베이컨 포테이토 치즈크러스트M', 'price': '27900', 'review_count': 1}, {'id': 178557211, 'name': '직화불고기 리치골드M', 'price': '28900', 'review_count': 0}, {'id': 178557233, 'name': '리얼 하프앤하프 리치골드&치즈크러스트 L', 'price': '33900', 'review_count': 0}, {'id': 178557248, 'name': '메가더블 세트', 'price': '30900', 'review_count': 1}, {'id': 178556996, 'name': '수퍼슈프림 치즈크러스트L', 'price': '32900', 'review_count': 0}, {'id': 178557129, 'name': '수퍼슈프림 리치골드L', 'price': '32900', 'review_count': 0}, {'id': 178557277, 'name': '（메가） 얌얌페페로니L ＋ 해피콤보세트', 'price': '27800', 'review_count': 0}, {'id': 180321218, 'name': '마니아_BBQ불고기L ＋ 해피콤보세트 （리치치즈파스타 ＋ 팝콘치킨）', 'price': '39800', 'review_count': 0}]"
피자양식,387049,파파존스피자-대신점,50718641569,129.0200425,35.10806504,0.842581267,4.9,202,11:00:00,0,15000,"[{'id': 19855220, 'name': '수퍼 파파스 오리지널 크러스트 R', 'price': '18900', 'review_count': 20}, {'id': 19855498, 'name': '수퍼 파파스 오리지널 크러스트 L', 'price': '26500', 'review_count': 14}, {'id': 19855212, 'name': '페퍼로니 오리지널 크러스트 R', 'price': '16900', 'review_count': 7}, {'id': 19855536, 'name': '더블 초코칩 브라우니', 'price': '10900', 'review_count': 10}, {'id': 19855494, 'name': '존스 페이버릿 오리지널 크러스트 L', 'price': '27500', 'review_count': 4}, {'id': 19855531, 'name': '치즈 스틱', 'price': '9900', 'review_count': 3}, {'id': 74269117, 'name': '미트볼 페퍼로니 오리지널 크러스트 L', 'price': '28500', 'review_count': 4}, {'id': 74269120, 'name': '미트볼 페퍼로니 치즈롤 크러스트 L', 'price': '32500', 'review_count': 2}, {'id': 19855148, 'name': '수퍼 파파스 치즈롤 크러스트 L', 'price': '30500', 'review_count': 4}, {'id': 19855216, 'name': '올미트 오리지널 크러스트 R', 'price': '18900', 'review_count': 1}]"
피자양식,36613,피자에땅-충무점,50352591516,129.0218817,35.0937592,0.81912353,4.6,168,11:00:00,2000,15900,"[{'id': 4706240, 'name': '수퍼수프림 L', 'price': '17000', 'review_count': 2}, {'id': 178618883, 'name': '신세개2021L', 'price': '20000', 'review_count': 0}, {'id': 4706236, 'name': '치즈 L', 'price': '17000', 'review_count': 0}, {'id': 4706237, 'name': '페페로니 L', 'price': '17000', 'review_count': 0}, {'id': 178618844, 'name': '마불피자L', 'price': '20000', 'review_count': 0}, {'id': 178618289, 'name': '바싹불고기L', 'price': '23000', 'review_count': 0}, {'id': 178618716, 'name': '프리미엄세트（맵고달고피자L 1판＋프리미엄2R 1판＋콜라1.25L）', 'price': '45000', 'review_count': 1}, {'id': 178618898, 'name': '신세개피자1L', 'price': '20000', 'review_count': 0}, {'id': 178618800, 'name': '울트라콤비네이션R', 'price': '17000', 'review_count': 0}, {'id': 178618877, 'name': '달피자L', 'price': '20000', 'review_count': 0}]"
피자양식,389646,아웃백-남포점,50718644092,129.0297235,35.09840953,1.048163578,4.7,84,11:00:00,2500,20000,"[{'id': 20004774, 'name': '아웃백 스페셜 갈릭 스테이크', 'price': '30900', 'review_count': 30}, {'id': 20004759, 'name': '투움바 파스타', 'price': '23900', 'review_count': 9}, {'id': 20004767, 'name': '치킨텐더 샐러드', 'price': '19900', 'review_count': 5}, {'id': 20903366, 'name': '짐붐바 스테이크', 'price': '32900', 'review_count': 1}, {'id': 20004739, 'name': '듀오 스테이크세트（2인）', 'price': '65900', 'review_count': 11}, {'id': 46751998, 'name': '더블머쉬룸 스테이크', 'price': '35900', 'review_count': 2}, {'id': 20004735, 'name': '듀오 립세트（2인）', 'price': '58900', 'review_count': 2}, {'id': 20004745, 'name': '디럭스세트（3~4인）', 'price': '79900', 'review_count': 2}, {'id': 20903353, 'name': '알리오 올리오 파스타', 'price': '23900', 'review_count': 1}, {'id': 20004669, 'name': '골드코스트 코코넛쉬림프', 'price': '19900', 'review_count': 0}]"
피자양식,521024,쑝쑝돈까스-대청점,0,129.0302097,35.10304069,1.098212833,4.6,54,10:30:00,2900,12000,"[{'id': 129774702, 'name': '쑝쑝카츠', 'price': '6900', 'review_count': 8}, {'id': 129774705, 'name': '두툼치즈카츠', 'price': '8900', 'review_count': 6}, {'id': 129774701, 'name': '경양식왕돈까스', 'price': '8500', 'review_count': 4}, {'id': 129774748, 'name': '공기밥 추가', 'price': '500', 'review_count': 0}, {'id': 129774723, 'name': '까르보나라', 'price': '8900', 'review_count': 5}, {'id': 129774711, 'name': '프리미엄카츠정식', 'price': '10900', 'review_count': 4}, {'id': 129774713, 'name': '쑝쑝카츠정식', 'price': '9500', 'review_count': 0}, {'id': 129774703, 'name': '양파듬뿍카츠', 'price': '8900', 'review_count': 1}, {'id': 129774735, 'name': '김치치즈 가츠나베', 'price': '8500', 'review_count': 2}, {'id': 129774709, 'name': '큐브치즈카츠2', 'price': '10500', 'review_count': 2}]"
피자양식,241787,반올림피자샵-부산서구점,50712901979,129.0197147,35.1079137,0.821497258,4.8,1052,11:00:00,1000,14900,"[{'id': 26259366, 'name': '반반L사이즈（3~4인）', 'price': '18900', 'review_count': 88}, {'id': 26258961, 'name': '세트1（피자L＋스파게티＋코카콜라500ml）', 'price': '20500', 'review_count': 63}, {'id': 26259382, 'name': '포텐피자 L', 'price': '23900', 'review_count': 33}, {'id': 26259363, 'name': '반반R사이즈（2~3인）', 'price': '16900', 'review_count': 52}, {'id': 26258972, 'name': '오리지널피자L＋오리지널피자L', 'price': '27900', 'review_count': 54}, {'id': 26258920, 'name': '세트5（피자R＋스파게티＋코카콜라500ml）', 'price': '18500', 'review_count': 15}, {'id': 26259239, 'name': '반올림고구마 피자', 'price': '15900', 'review_count': 17}, {'id': 26259221, 'name': '콤비네이션 피자', 'price': '14900', 'review_count': 10}, {'id': 26259359, 'name': '불고기 피자', 'price': '14900', 'review_count': 10}, {'id': 26259378, 'name': '반올림고구마 골드 피자', 'price': '19900', 'review_count': 7}]"
피자양식,531048,와와샤브-대신점,0,129.0173639,35.10969861,1.018084811,5,133,10:30:00,2900,14900,"[{'id': 93038996, 'name': '월남쌈 소고기샤브', 'price': '14900', 'review_count': 128}, {'id': 93039006, 'name': '스페셜샤브（최고급 한우와 신선한 해물의 콜라보）', 'price': '27900', 'review_count': 2}, {'id': 93039003, 'name': '해물샤브（절단꽃게＋낙지＋쭈꾸미＋갑오징어＋그린홍합＋가리비＋새우）', 'price': '22900', 'review_count': 2}]"
피자양식,411200,은하별감파스타-남포부민점,50718665522,129.0185135,35.10214652,0.172932268,4.8,142,11:00:00,2000,8000,"[{'id': 22901011, 'name': '까르보나라 파스타', 'price': '8000', 'review_count': 29}, {'id': 22901013, 'name': '베이컨 로제 파스타', 'price': '9000', 'review_count': 7}, {'id': 22901022, 'name': '쉬림프 크림 파스타', 'price': '8000', 'review_count': 21}, {'id': 22901257, 'name': '목살 필라프', 'price': '8000', 'review_count': 19}, {'id': 22901092, 'name': '차돌박이 토마토 파스타', 'price': '8500', 'review_count': 1}, {'id': 22901060, 'name': '쉬림프 로제 파스타', 'price': '9000', 'review_count': 5}, {'id': 22901270, 'name': '차돌박이 필라프', 'price': '9000', 'review_count': 3}, {'id': 22901003, 'name': '오리지널 새우 감바스', 'price': '16000', 'review_count': 3}, {'id': 22901010, 'name': '매운 크림새우 감바스', 'price': '17000', 'review_count': 1}, {'id': 22901041, 'name': '미트 토마토 파스타', 'price': '8000', 'review_count': 0}]"
피자양식,59735,7번가피자-남포보수점,50352570345,129.0245467,35.10302281,0.611723588,4.7,549,11:10:00,0,14900,"[{'id': 9827041, 'name': '슈퍼콤비네이션 R', 'price': '19900', 'review_count': 22}, {'id': 19301621, 'name': '샘스테이크 R', 'price': '23900', 'review_count': 14}, {'id': 9827015, 'name': '홍대피자 R', 'price': '23900', 'review_count': 12}, {'id': 9827016, 'name': '7번가스페셜 R', 'price': '23900', 'review_count': 8}, {'id': 9827040, 'name': '페페로니 R', 'price': '19900', 'review_count': 17}, {'id': 9827043, 'name': '흥부 포테이토 R', 'price': '19900', 'review_count': 20}, {'id': 9827046, 'name': '슈퍼콤비네이션 L', 'price': '25900', 'review_count': 1}, {'id': 9827023, 'name': '7번가스페셜 L', 'price': '30500', 'review_count': 5}, {'id': 9827014, 'name': '체다골드포테이토 R', 'price': '23900', 'review_count': 8}, {'id': 9827028, 'name': '고구마피자 R', 'price': '21400', 'review_count': 1}]"
